File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;CupidResult;1,00;0,025;0,05;59,54545455;0,413510101;0,586489899;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;CupidAdjusted;1,00;0,006944444;0,01;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;DistributionBasedResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;DistributionBasedAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;JaccardLevenMatcherResult;1,00;0,058823529;0,11;57,45454545;0,398989899;0,601010101;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;SimilarityFloodingResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac4_ev_,csv;SmatResult;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;ComaInstResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;ComaInstAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;ComaOptResult;0,00;0;0,00;126,5833333;0,879050926;0,120949074;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;ComaOptAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;CupidResult;1,00;0,025;0,05;59,54545455;0,413510101;0,586489899;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;CupidAdjusted;1,00;0,006944444;0,01;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;DistributionBasedResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;DistributionBasedAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;JaccardLevenMatcherResult;1,00;0,058823529;0,11;57,45454545;0,398989899;0,601010101;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;SimilarityFloodingResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_av_,csv;SmatResult;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;ComaInstResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;ComaInstAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;ComaOptResult;0,00;0;0,00;126,5833333;0,879050926;0,120949074;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;ComaOptAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;CupidResult;1,00;0,025;0,05;59,54545455;0,413510101;0,586489899;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;CupidAdjusted;1,00;0,006944444;0,01;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;DistributionBasedResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;DistributionBasedAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;JaccardLevenMatcherResult;1,00;0,058823529;0,11;57,45454545;0,398989899;0,601010101;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;SimilarityFloodingResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ac5_ev_,csv;SmatResult;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;ComaInstResult;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;ComaInstAdjusted;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;ComaOptResult;1,00;0,5;0,67;56,09090909;0,389520202;0,610479798;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;ComaOptAdjusted;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;CupidResult;1,00;0,027777778;0,05;59,18181818;0,410984848;0,589015152;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;CupidAdjusted;1,00;0,006944444;0,01;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;DistributionBasedResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;DistributionBasedAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;JaccardLevenMatcherResult;1,00;0,058823529;0,11;57,45454545;0,398989899;0,601010101;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;SimilarityFloodingResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;SmatResult;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaInstResult;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaInstAdjusted;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaOptResult;1,00;0,5;0,67;56,09090909;0,389520202;0,610479798;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaOptAdjusted;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;CupidResult;1,00;0,027777778;0,05;59,18181818;0,410984848;0,589015152;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;CupidAdjusted;1,00;0,006944444;0,01;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;DistributionBasedResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;DistributionBasedAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;JaccardLevenMatcherResult;1,00;0,058823529;0,11;57,45454545;0,398989899;0,601010101;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;JaccardLevenMatcherAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;SimilarityFloodingResult;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;SimilarityFloodingAdjusted;0,00;0;0,00;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;SmatResult;1,00;1;1,00;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaInstResult;0,83;0,833333333;0,83;81,11111111;0,386243386;0,613756614;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaInstAdjusted;0,50;1;0,67;108;0,514285714;0,485714286;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaOptResult;0,83;1;0,91;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaOptAdjusted;0,83;1;0,91;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;CupidResult;1,00;0,089552239;0,16;48,625;0,231547619;0,768452381;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;CupidAdjusted;1,00;0,028571429;0,06;66,5;0,316666667;0,683333333;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;DistributionBasedResult;0,17;0,5;0,25;139,0769231;0,662271062;0,337728938;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;DistributionBasedAdjusted;0,17;1;0,29;139;0,661904762;0,338095238;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;JaccardLevenMatcherResult;0,17;0,058823529;0,09;140,2307692;0,667765568;0,332234432;;;;;;;;;;;;;;;;;;
